Con,Grn,Lab,Lib,Nat,Oth,Ref,Prev_con,Prev_lab,Prev_lib,Prev_ref,Prev_nat,Prev_oth,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Region,Total population,Latitude,Longitude
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.132884713052311,0.575495175215846,0.151777552056882,0.0,0.107846622651092,0.0319959370238699,0.186065352416959,0.0955981636510937,0.124385633270321,0.179638131244936,0.208792870645423,0.205519848771266,Wales,92573,51.5979357,-3.7938665
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.443371031792109,0.217203502008778,0.283319012563573,0.0,0.0,0.0561064536355402,0.185378523375628,0.0998211700587584,0.158247466575832,0.207732266030827,0.187737375457719,0.161083198501235,South East,117430,51.2494169,-0.7630148
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.453867660764213,0.349767008387698,0.121318732525629,0.0,0.0,0.0750465983224604,0.177914044889805,0.0899291719636352,0.114617496554745,0.177711068616663,0.212078156548121,0.22775006142703,West Midlands,93607,52.5985756,-1.9269572
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.468891246195,0.29323863112259,0.220874458075823,0.0,0.0,0.0169956646065861,0.212833419206532,0.0822599183544053,0.100719353176648,0.219046014823035,0.194859498236297,0.190281796203083,North West,100924,53.3984501,-2.35182278398903
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.25406633348478,0.482280781462971,0.174920490686052,0.0,0.0442980463425715,0.0444343480236256,0.181959793087233,0.0899561094129633,0.130466729367505,0.19132573085665,0.208382318363508,0.19790931891214,Wales,102072,57.27409625,-5.51591617403947
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.338850999884406,0.468454513929026,0.121188301930413,0.0,0.0,0.0715061842561553,0.169521173539994,0.0869526709106006,0.125004151674509,0.179086631608082,0.219529476889012,0.219905895377802,East Midlands,90322,53.029057,-1.46249535974619
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.502062795848352,0.171472619099318,0.266621791809615,0.0,0.0,0.059842793242715,0.158648651429865,0.0752955946365909,0.0816551241548926,0.160922852115212,0.234736614631034,0.288741163032405,South East,97177,50.85453835,-0.564816299557614
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.240293134481872,0.488686037541785,0.138878889174595,0.0,0.0,0.132141938801748,0.184915072299047,0.0924943697249058,0.128128222937846,0.183441729283745,0.211203721243501,0.199816884510955,East Midlands,95021,53.08977375,-1.25187674615571
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.515795926065636,0.235901546586194,0.188348736325915,0.0,0.0,0.0599537910222557,0.205446749550629,0.0961840922708208,0.138340698022768,0.198060215698023,0.192433717795087,0.169534526662672,South East,106816,51.148555,0.8722566
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.197120375935741,0.589967761324518,0.125457625266379,0.0,0.0,0.0874542374733621,0.20579973810214,0.0983116584532032,0.140535191275403,0.194034326612621,0.198102739931427,0.163216345625206,North West,100040,53.4865407,-2.098691
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.502010431266227,0.189118397169313,0.263033338694483,0.0,0.0,0.0458378328699767,0.204788789008258,0.0920485273697288,0.138209822407367,0.214390119125923,0.19438354162099,0.156179200467734,South East,109464,51.8161412,-0.8130383
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.473491285138612,0.272952371704617,0.182502306161091,0.0,0.0,0.0710540369956789,0.186671517916847,0.0896432364394445,0.1310034220981,0.196898477756362,0.201952955984738,0.193830389804508,South East,101692,52.0601807,-1.3402795
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.263720994858969,0.339076467046454,0.177573989162151,0.0,0.181557130285767,0.0380714186466583,0.155804602061498,0.128025318925246,0.108038975537323,0.157896448197002,0.213780171899895,0.236454483379036,Wales,92264,53.2277163,-4.1268822
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.159749906788654,0.467203946424986,0.121576275561419,0.0,0.0,0.25146987122494,0.264506968576019,0.116130478645892,0.156215670888914,0.236774651571199,0.149968239733961,0.0764039905840152,London,133816,51.5389922,0.0804245
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.153161895519974,0.616340503531188,0.179524502668607,0.0,0.0,0.0509730982802307,0.183971291866029,0.0917416267942583,0.141732057416268,0.184210526315789,0.211062200956938,0.187282296650718,Wales,104500,53.5352272,-1.3789721
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.129485961579058,0.672709520793751,0.152047709520794,0.0,0.0,0.0457568081063964,0.187507748057026,0.0935965288704524,0.142516568921947,0.18189100271778,0.209488389834549,0.184999761598245,Wales,104865,53.5527719,-1.4827755
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.331975560081466,0.450788347559441,0.172017666308153,0.0,0.0,0.0452184260509393,0.165080831408776,0.0893302540415704,0.122966384398255,0.168447523736207,0.224172440338722,0.230002566076469,North West,97424,54.1162206,-3.228422940078
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.419568784230351,0.337739468028563,0.123171492616643,0.0,0.0,0.119520255124442,0.217509551252995,0.095133255011517,0.137075512714961,0.198758568375871,0.187158305658597,0.164364806986059,Eastern,108102,51.5944857,0.3672374
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.402260164598944,0.315022724481022,0.222527944969905,0.0,0.0,0.0601891659501289,0.192381800665297,0.0936596804391689,0.150273571701234,0.21832112409794,0.189446130914511,0.155917692181848,South East,110027,51.262826,-1.0861976
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.359069981583794,0.517472375690608,0.123457642725599,0.0,0.0,0.0,0.1760426863208,0.087455135218134,0.125256712922976,0.178326711579432,0.217356672616648,0.215562081342009,East Midlands,104202,53.34945205,-0.961660401193982
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.327617388974479,0.159242637372452,0.4405296179695,0.0,0.0,0.0726103556835689,0.147938758372879,0.214628859335638,0.122912883004277,0.168004374401937,0.17411681996602,0.172398304919249,South West,102411,51.3813864,-2.3596963
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.398534837709213,0.40492487032779,0.145874552162986,0.0,0.0,0.0506657398000107,0.155903067924078,0.10502199245186,0.294772316140348,0.221614126592042,0.136674594356342,0.0860139025353302,London,108899,51.4707933,-0.172214
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.540058714901274,0.189331881244377,0.221625076944931,0.0,0.0,0.048984326909418,0.187849827936482,0.0794912724408142,0.105228243293669,0.198225465400721,0.213845930594137,0.215359260334176,South East,96476,51.6082881,-0.6571233
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.441558441558442,0.309813664596273,0.202484472049689,0.0,0.0,0.0461434217955957,0.187932804479701,0.0791133924405039,0.139085394307046,0.242426504899673,0.192543163789081,0.158898740083994,Wales,107150,51.4070938,-0.0303183
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.3362765180947,0.413411504320595,0.219679310588401,0.0,0.0,0.0306326669963033,0.195489473923521,0.105524485063429,0.146055563133724,0.211276315191197,0.183749374801073,0.157904787887055,Eastern,109962,52.1363806,-0.4675041
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.128381091440044,0.323672202956744,0.472567986858916,0.0,0.0,0.0753787187442964,0.140106941891173,0.148598837263557,0.275016097274195,0.218139061785538,0.145789979563461,0.072349082222077,London,107159,51.4945379,-0.0691595028998192
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.128684875466249,0.336632174226928,0.123751654433883,0.0,0.0,0.410931295872939,0.186372350244957,0.171966834178783,0.259843637826708,0.212998098724331,0.108514717135937,0.0603043618892842,Wales,126756,51.51686765,-0.0416595381921766
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.402940914753515,0.355512546716498,0.194563089517708,0.0,0.0,0.0469834490122797,0.15172675776231,0.084611688993665,0.0937622202607733,0.163201233478207,0.236170854608225,0.270527244896819,Yorkshire & the Humber,89503,53.8425488,-0.4315677
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.536116929884435,0.185821545413891,0.221361828323958,0.0,0.0,0.0566996963777155,0.147224186109147,0.0768721453500768,0.0871068017820871,0.142533301911142,0.223927998294224,0.322335566553322,South East,89109,50.8419553,0.4709063
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.436697467898716,0.369926797071883,0.130733229329173,0.0,0.0,0.062642505700228,0.205852244509086,0.0977671467520752,0.127180401974398,0.206065090256732,0.194135592876762,0.168999523630946,London,98663,51.4634854,0.1480552
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.450099079146754,0.235854994754633,0.250495395733768,0.0,0.0,0.0635505303648443,0.185162119414788,0.0843416370106761,0.13582443653618,0.208580466587584,0.201937524713325,0.184153815737446,Wales,101160,51.8988832,-1.1518287
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.199550224887556,0.596351824087956,0.195377311344328,0.0,0.0,0.0087206396801599,0.19313312857847,0.098993288590604,0.129725476813408,0.187208508702082,0.206963561217912,0.183976036097524,North West,105492,53.3895177,-3.0248007
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.370096745822339,0.436311094358588,0.142203794446538,0.0,0.0,0.0513883653725342,0.19484055563247,0.149107019244081,0.151266786653745,0.198449397757165,0.160108911348009,0.14622732936453,Wales,108344,52.45046225,-1.93199500617883
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.218985579575004,0.51955556722965,0.173754301174122,0.0,0.0,0.0877045520212235,0.219524818849509,0.109955472305746,0.147820443305236,0.193235405267741,0.188544388031744,0.140919472240022,Wales,121722,52.5284461,-1.8425676
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.165050474911731,0.40198418618529,0.278059575314536,0.0,0.0,0.154905763588443,0.237599959078586,0.13113608075159,0.147231836859963,0.208281471124827,0.154461286637453,0.12128936554758,Wales,117298,52.4796992,-1.9026911
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.202211090872293,0.424913985023275,0.251467314308844,0.0,0.0,0.121407609795588,0.259317709781347,0.128738940585801,0.138518651773595,0.18778517343451,0.159231033411287,0.126408491013459,Wales,122294,52.4796992,-1.9026911
0.3546666666666667,,0.2803333333333333,0.27416666666666667,,0.08650000000000001,,0.105185065285421,0.49196072083738,0.284719974101651,0.0,0.0,0.118134239775548,0.230196357315001,0.211620770942805,0.192393294088209,0.189575020083495,0.112026391687409,0.0641881658830811,Wales,151865,52.47971745,-1.91503442178895
