con,lab,lib,nat,ref,oth
0.170923473940622,0.497720859561537,0.170127583628777,0.0763572341605769,0.0181366519547548,0.0667341967537322
0.476021460998762,0.119459347915807,0.338423442014032,0.0,0.044758563763929,0.02133718530747
0.571018847309478,0.229536556496403,0.175657834835655,0.0,0.0117909496494582,0.0119958117090048
0.489462069524022,0.224181564189257,0.254712206183062,0.0,0.0316441601036584,0.0
0.327208049598536,0.398129891249111,0.177843276755768,0.0408781380221567,0.0238438865738388,0.0320967578005894
0.38613516689151,0.374472344314374,0.14439270638409,0.0,0.0197136515949345,0.075286130815092
0.571193512369983,0.0911833264774441,0.277898572016219,0.0,0.0596854126265891,3.91765097647451e-05
0.224105978447388,0.339556592765461,0.32372388862196,0.0,0.0215297320795295,0.0910838080856613
0.541154230585372,0.157620268567207,0.247381687019252,0.0,0.0463908565468688,0.0074529572813002
0.247792819305474,0.49102413184226,0.156538159701785,0.0,0.046767706494016,0.0578771826564645
0.510222412318221,0.0961719418306244,0.217194183062446,0.0,0.0929640718562874,0.0834473909324208
0.553982259461231,0.181899033398086,0.206543871556627,0.0,0.0475577503686193,0.0100170852154375
0.317976009098517,0.259651080448917,0.175618548958177,0.220317160575953,0.0225317053282118,0.0039054955902233
0.179286630990144,0.546988885391191,0.0825967987989442,0.0,0.0288640821367169,0.162263602683004
0.170770024385669,0.472097167510786,0.174920277621459,0.0,0.0462858750703432,0.135926655411743
0.16827650413127,0.47922727801699,0.175747701617596,0.0,0.053857791225416,0.122890725008728
0.368216423075357,0.484407442087693,0.1016366079062,0.0,0.0197451451369946,0.0259943817937548
0.518709033294266,0.238290576029865,0.154968094804011,0.0,0.0402830229630594,0.0477492729087988
0.511158907960305,0.198304868180076,0.244260828825759,0.0,0.0417820179735082,0.0044933770603518
0.338943568865291,0.504648380936392,0.112337621456003,0.0,0.035864934628864,0.0082054941134498
0.328649822106977,0.0897505477497035,0.552915636495206,0.0,0.020523025588454,0.0081609680596594
0.479001341549376,0.355078560221924,0.148775551967985,0.0,0.0104595375065372,0.0066850087541781
0.619740248805439,0.118614098974888,0.198581261708801,0.0,0.05020312796009,0.0128612625507819
0.459418007811701,0.25275556737081,0.239177112942476,0.0,0.0299789370360524,0.0186703748389603
0.395089736966239,0.358992789595454,0.200610975089288,0.0,0.0256519688223005,0.0196545295267189
0.173377331072899,0.301071688060063,0.488253814482926,0.0,0.0,0.0372971663841123
0.156160558464223,0.433205351948807,0.194671320535195,0.0,0.001326352530541,0.214636416521233
0.477289159188534,0.213732828647982,0.229957895632203,0.0,0.0351295028282226,0.0438906137030578
0.509399149083963,0.134518537813667,0.272358253017279,0.0,0.0016714422158548,0.0820526178692367
0.48113053802994,0.294391544246036,0.127464903499174,0.0,0.0349917351523758,0.0620212790724745
0.535515028557567,0.156945332657067,0.257084261362383,0.0,0.0412375680860916,0.009217809336891
